subject,sender,body,label
Uber interview scheduling,Uber Recruiting <recruiting@uber.com>,We would like to schedule an interview for the Data Scientist position.,INTERVIEW
Stay Connected for Future Career Opportunities,Airbnb Careers <careers@airbnb.com>,We would like to keep your information on file for future opportunities.,OTHER
Employment offer,Uber Careers <careers@uber.com>,Congratulations. We would like to offer you a position on our team.,OFFER
Upcoming career fair,University Career Center <careercenter@example.edu>,Join us for this week's employer networking event.,OTHER
Update for Software Engineer,no-reply@datadog.com,"Thank you for your interest in Datadog, but we are unable to offer you the position.",REJECTED
Employment offer,no-reply@google.com,We are excited to invite you to join Google. Please review the attached compensation and benefits information.,OFFER
Microsoft application confirmation,Microsoft Recruiting <recruiting@microsoft.com>,We have received your application for the Product Analyst position.,APPLIED
Thank you for applying to Stripe,Stripe Recruiting <recruiting@stripe.com>,Your materials have been received and will be reviewed by our recruiting team.,APPLIED
Explore careers at Amazon,Amazon Careers <careers@amazon.com>,Learn more about our open roles and engineering teams.,OTHER
Technical interview invitation,Stripe Talent Acquisition <jobs@stripe.com>,We would like to schedule an interview for the Product Analyst position.,INTERVIEW
New jobs: Software Engineer Intern and 7 more jobs,Wellfound <team@hi.wellfound.com>,I've found 8 new jobs that might interest you. Ready to Interview Open to offers Closed to Offers.,OTHER
Phone screen availability,Palantir Recruiting <recruiting@palantir.com>,We enjoyed reviewing your background and would like to continue the process with a conversation.,INTERVIEW
Weekly job recommendations,LinkedIn Jobs <jobs-noreply@linkedin.com>,Here are new jobs that match your profile.,OTHER
Thank you for applying to Amazon,Amazon Recruiting <recruiting@amazon.com>,We appreciate your interest in Amazon. Your application is now under review.,APPLIED
Your offer for Machine Learning Engineer,Palantir Talent Acquisition <jobs@palantir.com>,The team was impressed with you throughout the process and we are excited to welcome you to Palantir.,OFFER
Your offer for Frontend Engineer,no-reply@adobe.com,We are excited to invite you to join Adobe. Please review the attached compensation and benefits information.,OFFER
Thank you for applying to Google,Google Recruiting <recruiting@google.com>,Thank you for your interest in Google. Your information has been submitted to the hiring team.,APPLIED
Datadog interview scheduling,Datadog Careers <careers@datadog.com>,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Thank you for applying to Uber,Uber Talent Acquisition <jobs@uber.com>,We appreciate your interest in Uber. Your application is now under review.,APPLIED
Interview invitation - Software Engineer,Microsoft Careers <careers@microsoft.com>,Please use the scheduling link below to select a time to meet with our engineering team.,INTERVIEW
Regarding your application,no-reply@datadog.com,We have chosen to proceed with other candidates.,REJECTED
Technical interview invitation,Meta Talent Acquisition <jobs@meta.com>,Your candidacy is moving forward and we'd like to arrange a conversation with the hiring manager.,INTERVIEW
Status of your application,Capital One Recruiting <recruiting@capitalone.com>,We have chosen to proceed with other candidates.,REJECTED
Offer Letter - Datadog,no-reply@datadog.com,We would be thrilled to have you join our team as a Machine Learning Engineer.,OFFER
Application update,Adobe Talent Acquisition <jobs@adobe.com>,"We enjoyed learning about your background, but we will not be advancing your candidacy.",REJECTED
Career Insights Newsletter,Capital One Talent Acquisition <careers@capitalone.com>,Thank you for being part of our talent community. Read employee stories and company news.,OTHER
Salesforce hiring update,Salesforce Recruiting <recruiting@salesforce.com>,We will not be moving forward with your candidacy at this time.,REJECTED
Congratulations from Google,Google Talent Acquisition <jobs@google.com>,We are happy to offer you the opportunity to join Google.,OFFER
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
Your application has been submitted,Capital One Recruiting <recruiting@capitalone.com>,We appreciate your interest in Capital One. Your application is now under review.,APPLIED
Next steps for your application,Palantir Talent Acquisition <jobs@palantir.com>,We enjoyed reviewing your background and would like to continue the process with a conversation.,INTERVIEW
Status of your application,Airbnb Careers <careers@airbnb.com>,"After careful consideration, you were not selected for the Backend Engineer role.",REJECTED
Amazon application confirmation,Amazon Recruiting <recruiting@amazon.com>,Your materials have been received and will be reviewed by our recruiting team.,APPLIED
Bloomberg hiring update,Bloomberg Talent Acquisition <jobs@bloomberg.com>,"While we were impressed by your experience, we have decided to pursue other applicants.",REJECTED
Application received - Full Stack Engineer,Stripe Careers <careers@stripe.com>,Your materials have been received and will be reviewed by our recruiting team.,APPLIED
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
Next steps for your application,no-reply@netflix.com,We would like to invite you to the next round of interviews.,INTERVIEW
Employment offer,Microsoft Recruiting <recruiting@microsoft.com>,We are happy to offer you the opportunity to join Microsoft.,OFFER
New job alert,Indeed <alerts@indeed.com>,Several new software engineering roles were posted today.,OTHER
Next steps for your application,no-reply@salesforce.com,We would like to invite you to the next round of interviews.,INTERVIEW
We received your application,Datadog Talent Acquisition <jobs@datadog.com>,We have received your application for the Data Analyst position.,APPLIED
Offer details,Uber Careers <careers@uber.com>,We are excited to invite you to join Uber. Please review the attached compensation and benefits information.,OFFER
Palantir application confirmation,Palantir Careers <careers@palantir.com>,We appreciate your interest in Palantir. Your application is now under review.,APPLIED
New jobs: Software Engineer Intern and 7 more jobs,Wellfound <team@hi.wellfound.com>,I've found 8 new jobs that might interest you. Ready to Interview Open to offers Closed to Offers.,OTHER
Your Parking Receipt,donotreply@parking.com,Thank you for purchasing parking using our application. Below are your parking session details.,OTHER
Thank you for applying to Cloudflare,Cloudflare Recruiting <recruiting@cloudflare.com>,We have successfully received your candidate profile for consideration.,APPLIED
Application received - Full Stack Engineer,Cloudflare Recruiting <recruiting@cloudflare.com>,We appreciate your interest in Cloudflare. Your application is now under review.,APPLIED
Capital One interview scheduling,no-reply@capitalone.com,We enjoyed reviewing your background and would like to continue the process with a conversation.,INTERVIEW
Update for Data Scientist,Meta Recruiting <recruiting@meta.com>,We have selected candidates whose qualifications more closely match our current needs.,REJECTED
Your package has shipped,Amazon <shipment-tracking@amazon.com>,Your package will arrive tomorrow.,OTHER
A third-party OAuth application was added,GitHub <noreply@github.com>,An OAuth application was recently authorized to access your account.,OTHER
Weekly job recommendations,LinkedIn Jobs <jobs-noreply@linkedin.com>,Here are new jobs that match your profile.,OTHER
Congratulations from Palantir,Palantir Talent Acquisition <jobs@palantir.com>,Attached are the details of your employment offer for Systems Engineer.,OFFER
Congratulations from Stripe,no-reply@stripe.com,We are happy to offer you the opportunity to join Stripe.,OFFER
Upcoming career fair,University Career Center <careercenter@example.edu>,Join us for this week's employer networking event.,OTHER
Amazon hiring update,Amazon Careers <careers@amazon.com>,"After careful consideration, you were not selected for the Frontend Engineer role.",REJECTED
Thank you for applying to Datadog,Datadog Careers <careers@datadog.com>,Your submission for Data Scientist is complete and no further action is required.,APPLIED
Phone screen availability,Cloudflare Careers <careers@cloudflare.com>,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Your offer for Data Analyst,Palantir Careers <careers@palantir.com>,We are excited to invite you to join Palantir. Please review the attached compensation and benefits information.,OFFER
Thank you for applying to Uber,Uber Recruiting <recruiting@uber.com>,We appreciate your interest in Uber. Your application is now under review.,APPLIED
Stripe interview scheduling,Stripe Careers <careers@stripe.com>,Please use the scheduling link below to select a time to meet with our engineering team.,INTERVIEW
Your Parking Receipt,donotreply@parking.com,Thank you for purchasing parking using our application. Below are your parking session details.,OTHER
We received your application,Datadog Careers <careers@datadog.com>,Your application for Software Engineering Intern was successfully submitted.,APPLIED
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
We received your application,no-reply@capitalone.com,Your application is currently being reviewed. We will contact you if your experience matches our needs.,APPLIED
Offer Letter - Meta,Meta Careers <careers@meta.com>,We would be thrilled to have you join our team as a Frontend Engineer.,OFFER
Technical interview invitation,Amazon Talent Acquisition <jobs@amazon.com>,We would like you to speak with several members of the team as the next step.,INTERVIEW
We received your application,Stripe Recruiting <recruiting@stripe.com>,Thank you for your interest in Stripe. Your information has been submitted to the hiring team.,APPLIED
Stripe interview scheduling,Stripe Careers <careers@stripe.com>,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Microsoft application confirmation,no-reply@microsoft.com,We appreciate your interest in Microsoft. Your application is now under review.,APPLIED
Thank you for applying to Salesforce,Salesforce Careers <careers@salesforce.com>,Your submission for Full Stack Engineer is complete and no further action is required.,APPLIED
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
Employment offer,Amazon Careers <careers@amazon.com>,Attached are the details of your employment offer for Product Analyst.,OFFER
Technical interview invitation,Microsoft Recruiting <recruiting@microsoft.com>,We would like you to speak with several members of the team as the next step.,INTERVIEW
Your financial aid application was received,Student Aid <donotreply@studentaid.gov>,Your application has been received. Review your account for next steps.,OTHER
Technical interview invitation,no-reply@google.com,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Status of your application,Netflix Talent Acquisition <jobs@netflix.com>,"While we were impressed by your experience, we have decided to pursue other applicants.",REJECTED
Password reset request,GitHub <noreply@github.com>,Use this link to reset your password.,OTHER
Upcoming career fair,University Career Center <careercenter@example.edu>,Join us for this week's employer networking event.,OTHER
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
Google application confirmation,Google Careers <careers@google.com>,We have successfully received your candidate profile for consideration.,APPLIED
Technical interview invitation,Airbnb Talent Acquisition <jobs@airbnb.com>,Your application has progressed and we would like to schedule a technical interview.,INTERVIEW
Interview invitation - Product Analyst,Bloomberg Talent Acquisition <jobs@bloomberg.com>,Please send us your availability for a conversation with the hiring team.,INTERVIEW
Employment offer,Adobe Recruiting <recruiting@adobe.com>,Your compensation package and proposed start date are included for your review.,OFFER
Thank you for applying to Amazon,no-reply@amazon.com,This message confirms that we received your application for Frontend Engineer.,APPLIED
Update for Data Analyst,Salesforce Talent Acquisition <jobs@salesforce.com>,"Thank you for your interest in Salesforce, but we are unable to offer you the position.",REJECTED
Status of your application,Netflix Talent Acquisition <jobs@netflix.com>,We will not be moving forward with your candidacy at this time.,REJECTED
Status of your application,no-reply@adobe.com,"After careful consideration, you were not selected for the Product Analyst role.",REJECTED
Bloomberg hiring update,Bloomberg Recruiting <recruiting@bloomberg.com>,We have selected candidates whose qualifications more closely match our current needs.,REJECTED
A third-party OAuth application was added,GitHub <noreply@github.com>,An OAuth application was recently authorized to access your account.,OTHER
Offer Letter - Airbnb,Airbnb Careers <careers@airbnb.com>,We are excited to extend an offer for the Frontend Engineer role.,OFFER
Phone screen availability,Uber Talent Acquisition <jobs@uber.com>,Please select a time for your phone screen regarding the Systems Engineer role.,INTERVIEW
We Received Your FAFSA Form,U.S. Department of Education <donotreply@studentaid.gov>,Log in to your account to see your status and next steps.,OTHER
Application received - Data Scientist,no-reply@meta.com,We have received your application for the Data Scientist position.,APPLIED
Offer details,Bloomberg Talent Acquisition <jobs@bloomberg.com>,We are excited to invite you to join Bloomberg. Please review the attached compensation and benefits information.,OFFER
Recruiter recently posted,LinkedIn <updates-noreply@linkedin.com>,A recruiter you follow recently posted about an open engineering role.,OTHER
New jobs: Senior Fullstack Engineer and 6 more jobs,Wellfound <team@hi.wellfound.com>,Here are several new opportunities that match your profile. Ready to Interview and open to offers.,OTHER
Thank you for applying to Palantir,Palantir Recruiting <recruiting@palantir.com>,We appreciate your interest in Palantir. Your application is now under review.,APPLIED
